point_id,disease_id,relation_type,evidence
1,1,主治,頭痛、目赤、牙痛。
1,4,主治,大便不通、便秘。
2,4,主治,腸胃實熱所致便秘。
2,16,主治,肩痛、臂痛及局部熱痛。
3,5,主治,咳嗽、咳痰、喉痛。
4,17,主治,鼻炎、鼻塞、頭痛。
4,1,主治,頭痛、咽痛。
5,9,主治,胃痛、嘔吐。
5,11,主治,腹痛、腸鳴、便秘。
6,20,主治,痰多、咳嗽及胸悶。
6,11,主治,脹滿、食滯。
7,9,主治,胃痛、嘔吐。
7,12,主治,腹脹、脹滿。
8,21,主治,遺尿、月經不調。
8,11,主治,小腹冷痛。
9,12,主治,腹脹、脾胃虛弱。
9,19,主治,水腫與氣虛乏力。
10,13,主治,月經不調、痛經。
10,26,主治,經行腹痛、痛經。
11,19,主治,水腫、脹滿。
11,12,主治,腹脹、食滯。
12,9,主治,胃痛、嘔吐。
12,22,主治,胸悶、脅痛。
13,15,主治,眩暈、頭痛。
13,13,主治,經期不調。
14,22,主治,胸脅脹痛。
14,12,主治,脹滿與胸悶。
15,8,主治,失眠、心悸。
15,1,主治,心神不安。
16,7,主治,心悸、胸悶。
16,9,主治,胃痛、嘔吐。
17,14,主治,腰痛、腎虛。
17,18,主治,耳鳴、耳聾。
18,15,主治,眩暈、耳鳴。
18,8,主治,失眠、心神不寧。
19,1,主治,頭痛、眩暈。
19,15,主治,眩暈與昏厥。
20,1,主治,頭痛、目眩。
20,17,主治,風寒外感、鼻塞。
21,16,主治,肩痛、頸項強。
21,24,主治,落枕與肩背疼痛。
22,18,主治,耳鳴、耳閉。
22,1,主治,頭痛、肩頸痛。
23,25,主治,肝膽不舒、目痛。
23,15,主治,眩暈、目眩。
24,19,主治,脾虛水腫。
24,12,主治,腹脹、脹滿。
25,20,主治,痰多、咳嗽。
25,4,主治,便秘、痰滯。
