id,name,category,description
1,頭痛,疼痛,以頭部疼痛為主。
2,牙痛,疼痛,口腔與牙齒疼痛。
3,目赤,眼部,目睛紅赤、疼澀。
4,便秘,腸胃,大便乾結難下。
5,咳嗽,呼吸,反覆咳嗽、咳痰。
6,氣喘,呼吸,呼吸短促、喘促。
7,心悸,心血管,心中悸動、胸悶。
8,失眠,神志,難以入睡或易醒。
9,胃痛,胃腸,胃脘部疼痛。
10,嘔吐,胃腸,反胃、噯氣、吐逆。
11,腹痛,腹部,腹部脹痛或絞痛。
12,腹脹,腹部,腹部脹滿、腸鳴。
13,月經不調,婦科,經期、經量、經色异常。
14,腰痛,腰背,腰背疼痛、僵硬。
15,眩暈,頭部,頭暈目眩、站立不穩。
16,肩痛,肩頸,肩背疼痛或牽涉痛。
17,鼻炎,耳鼻喉,鼻塞、流涕、鼻瘡。
18,耳鳴,耳鼻喉,耳中作響、聽力異常。
19,水腫,水濕,體表或四肢浮腫。
20,痰多,呼吸,痰濃、痰黏、痰量多。
21,遺尿,泌尿,夜尿或尿失禁。
22,胸悶,胸部,胸中不暢、悶脹。
23,膝痛,關節,膝部疼痛、腫痛。
24,落枕,肩頸,頸項痠痛、轉頭不利。
25,膽病,肝膽,膽氣不舒引起的病機。
26,經痛,婦科,經行腹痛、痛經。
