id,name,pinyin,meridian_id,location,note,classic_code,meridian_name
1,合谷,HEGU,2,手背第一、二掌骨之間，橫紋端,原穴，主治頭痛、牙痛、目赤、便秘。,LI4,手陽明大腸經
2,曲池,QUCHI,2,肘橫紋外端，屈肘時凹陷處,大腸經要穴，治肩臂疼痛與熱證。,LI11,手陽明大腸經
3,少商,SHAOSHANG,1,拇指末節外側，指甲角旁0.1寸,肺經井穴，主治咳嗽、喉痛。,LU11,手太陰肺經
4,列缺,LIEQUE,1,前臂桡骨茎突上1.5寸，橈骨中間,肺經絡穴，主治頭痛、咽喉痛與鼻炎。,LU7,手太陰肺經
5,足三里,ZUSANLI,3,膝下一寸，犢鼻下三寸,胃經合穴，治胃痛、腹痛、便秘。,ST36,足陽明胃經
6,豐隆,FENGLONG,3,外踝上8寸，腓骨前緣,胃經絡穴，治痰多、咳嗽與便秘。,ST40,足陽明胃經
7,中脘,ZHONGWAN,13,臍上4寸，胸腹正中線,任脈要穴，主治胃痛、嘔吐、腹脹。,CV12,任脈
8,關元,GUANYUAN,13,臍下3寸，任脈中線,任脈要穴，主治腹痛、遺尿與月經病。,CV4,任脈
9,氣海,QIHAI,13,臍下一寸半，任脈中線,補益元氣，治氣虛腹脹乏力。,CV6,任脈
10,三陰交,SANYINJIAO,4,內踝上3寸，脛骨內側後緣,脾經合穴，治月經不調、痛經、腹痛。,SP6,足太陰脾經
11,陰陵泉,YINLINGQUAN,4,膝內側髕骨下緣,脾經穴，治腹脹、食滯與水腫。,SP9,足太陰脾經
12,公孫,GONGSUN,8,第一蹠骨大頭內側前緣,肝經絡穴，治胃痛、胸悶、嘔吐。,LR4,足厥陰肝經
13,太沖,TAICHONG,8,足背第一、二蹠骨縫際,肝經原穴，治頭痛、眩暈、月經不調。,LR3,足厥陰肝經
14,章門,ZHANGMEN,8,側胸部第九肋間隙,肝經俞募穴，治胸脅脹痛。,LR13,足厥陰肝經
15,神門,SHENMEN,5,小指尺側，腕橫紋尺側端,心經穴，治失眠、心悸與神志不安。,HT7,手少陰心經
16,內關,NEIGUAN,6,前臂掌側，腕橫紋上2寸,心包經絡穴，治心悸、胃痛、嘔吐。,PC6,手厥陰心包經
17,太溪,TAIXI,7,內踝後方，跟腱前緣,腎經原穴，治腰痛、耳鳴與遺尿。,KI3,足少陰腎經
18,湧泉,YONGQUAN,7,足底前部，足心凹陷處,腎經井穴，治眩暈與失眠。,KI1,足少陰腎經
19,百會,BAIHUI,12,頭頂正中，前發際後1寸,督脈要穴，治頭痛、眩暈與昏厥。,GV20,督脈
20,風池,FENGCHI,10,項部胸鎖乳突肌與斜方肌間,膽經穴，治頭痛、目眩與風寒外感。,GB20,足少陽膽經
21,肩井,JIANJING,10,肩部，肩峰與第七頸椎連線交點,膽經穴，治肩痛、落枕與頸項強。,GB21,足少陽膽經
22,外關,WAIGUAN,9,前臂尺骨與橈骨間，腕後2寸,三焦經絡穴，治耳鳴、頭痛、肩頸痛。,SJ5,手少陽三焦經
23,肝俞,GANYU,11,第七胸椎旁開1.5寸,膀胱經穴，治肝膽病變及目部不適。,BL18,足太陽膀胱經
24,脾俞,PIYU,11,第十一胸椎旁開1.5寸,膀胱經穴，治消化不良和水腫。,BL20,足太陽膀胱經
25,照海,ZHAOHAI,7,內踝下方，踝尖後方,腎經穴，治頭痛、月經病與失眠。,KI6,足少陰腎經
